startTime,open,high,low,close,volume,turnover,SMA,Momentum,BB_Middle,BB_Std,BB_Upper,BB_Lower
1970-01-01 00:29:04.622340,84793.0,84793.1,84755.5,84763.9,18.124,1536244.6523,84780.255,-29.10000000000582,84780.255,37.90415162652816,84856.06330325306,84704.44669674695
1970-01-01 00:29:04.622400,84763.9,84770.0,84763.9,84765.1,5.329,451714.2044,84780.405,1.2000000000116415,84780.405,37.834396422198964,84856.0737928444,84704.7362071556
1970-01-01 00:29:04.622460,84765.1,84776.8,84688.3,84689.0,38.172,3234225.1399,84778.45,-76.10000000000582,84778.45,41.51094338910058,84861.47188677819,84695.4281132218
1970-01-01 00:29:04.622520,84689.0,84718.0,84680.0,84680.0,27.706,2346473.5595,84777.3,-9.0,84777.3,43.95767102686006,84865.21534205372,84689.38465794628
1970-01-01 00:29:04.622580,84680.0,84685.9,84612.7,84618.0,42.508,3597998.0417,84770.315,-62.0,84770.315,56.535869145171894,84883.38673829034,84657.24326170966
1970-01-01 00:29:04.622640,84618.0,84621.9,84584.3,84588.4,33.024,2793778.9698,84760.68000000001,-29.60000000000582,84760.68000000001,69.52843871016606,84899.73687742034,84621.62312257968
1970-01-01 00:29:04.622700,84588.4,84608.0,84556.7,84556.8,50.757,4293132.9731,84749.13500000001,-31.59999999999127,84749.13500000001,82.72373346837298,84914.58246693676,84583.68753306326
1970-01-01 00:29:04.622760,84556.8,84556.9,84521.7,84521.7,39.884,3371801.9178,84734.41,-35.10000000000582,84734.41,95.39766023832063,84925.20532047664,84543.61467952337
1970-01-01 00:29:04.622820,84521.7,84526.5,84422.0,84440.5,128.976,10895372.9188,84718.05500000001,-81.19999999999709,84718.05500000001,115.35878802103718,84948.77257604209,84487.33742395793
1970-01-01 00:29:04.622880,84440.5,84519.9,84440.5,84511.8,47.964,4052384.6371,84705.26499999998,71.30000000000291,84705.26499999998,123.47172817245522,84952.2084563449,84458.32154365507
